#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	97	In a region pair, a region is paired with another region in the same [answer choice]	geography	Each Azure region is always paired with another region within the same geography, such as US, Europe, or Asia, at least 300 miles away.		availability zone | resource group | datacenter		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	98	Which two components are created in an Azure subscription? Each correct answer presents a complete solution.	resources |&nbsp;resource groups	Resources can only be associated with a single subscription. Subscriptions may be grouped into management groups. An account may be associated with multiple subscriptions.		management groups |&nbsp;Azure AD user accounts		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	99	You need to allow resources on two different Azure virtual networks to communicate with each other.&nbsp;What should you configure?	peering	You can link virtual networks together by using virtual network peering. Peering enables resources in each virtual network to communicate with each other.		service endpoints |&nbsp; a point-to-site VPN | a network security group (NSG)		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	100	Which storage service should you use to store thousands of files containing text and images?	Azure Blob storage	Azure Blob storage is an object storage solution that you can use to store massive amounts of unstructured data, such as text or binary data.		Azure Queue Storage |&nbsp;Azure Disk Storage |&nbsp;Azure Table storage		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	101	What can you use to ensure that a user can only access applications from compliant devices?	Conditional Access	Conditional Access is a tool that Azure AD uses to allow or deny access to resources based on identity signals, such as the device being used. SSO enables a user to sign in one time and use that credential to access multiple resources and applications from different providers. MFA is a process whereby a user is prompted during the sign-in process for an additional form of identification. Hybrid identity solutions create a common user identity for authentication and authorization to all resources, regardless of location.		single sign-on (SSO) | multi-factor authentication (MFA) | hybrid identity		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	102	"<div><ul><li>You plan to build a new solution in Azure that will use platform as a service (PaaS) products.</li><li>What should you use to estimate the monthly costs?</li></ul></div>
"	Azure Pricing calculator	The Azure Pricing calculator allows you to estimate and configure according to your specific requirements. You will then receive a consolidated estimated price and a detailed breakdown of the costs associated with each resource you added to your solution.		Azure Advisor | Azure Cost Management |&nbsp;Total Cost of Ownership (TOC) Calculator		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	103	<div>You need to associate the costs of resources to different groups within an organization without changing the location of the resources. What should you use?</div>	resource tags	Resource tags can be used to group billing data and categorize costs by runtime environment, such as billing usage for virtual machines running in a production environment.		resource groups | subscriptions | administrative units		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	104	What can be applied to a resource to prevent accidental deletion?	a resource lock	A resource lock prevents resources from being accidentally deleted or changed. Resource tags offer the custom grouping of resources. Policies enforce different rules across all resource configurations so that the configurations stay compliant with corporate standards. An initiative is a way of grouping related policies together.		a resource tag | a policy | an Azure Reservation		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	105	Which two actions can be performed by using the graphical user interface (GUI) in the Azure portal? Each correct answer presents a complete solution.	Create new resources |&nbsp;Review a graphical view of all the services you are using	The Azure portal provides a GUI to view all the services you are using, create new services, configure your services, and view reports		Change the availability zone of a virtual machine |&nbsp;Repeatedly set up one or more resources and ensure that all the dependencies are created in the proper order		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	106	<div>You need to review the root cause analysis (RCA) report for a service outage that occurred last week. Where should you look for the report?</div>	Azure Service Health	After an outage, Service Health provides official incident reports called root cause analysis (RCA), which you can share with stakeholders		Azure Advisor | Azure Monitor | Log Analytics		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	107	What is high availability in a public cloud environment dependent on?	the service-level agreement (SLA) that you choose	Different services have different SLAs. Sometimes different tiers of the same service will offer different SLAs, which can increase or decrease the promised availability.		the vertical scalability of an app | cloud-based backup retention limits | capital expenditures		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	108	In a platform as a service (PaaS) model, which two components are the responsibility of the cloud service provider? Each correct answer presents a complete solution	operating system |&nbsp;physical network	In PaaS, the cloud provider is responsible for the operating system, physical datacenter, physical hosts, and physical network. In PaaS, the customer is responsible for accounts and identities		user access |&nbsp;information and data		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	109	Which cloud service model is used by Microsoft Office 365?	software as a service (SaaS)	SaaS allows users to connect to and use cloud-based apps over the internet. Common examples are email, calendaring, and Office tools, such as Office 365		infrastructure as a service (IaaS) | platform as a service (PaaS)		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	110	In which two deployment models are customers responsible for managing operating systems that host applications?	infrastructure as a service (IaaS) | on-premises	Operating systems are managed by customers when using IaaS or an on-premises deployments. The operating systems are not accessible in PaaS and SaaS deployments		software as a service (SaaS) | platform as a service (PaaS)		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	111	What can you use to get notification about an outage in a specific Azure region?	Azure Service Health	Service Health notifies you of Azure-related service issues, such as region-wide downtime		Azure Advisor | Azure Security Center | Azure Monitor		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	114	Which type of cloud service model is typically licensed through a monthly or annual subscription?	software as a service (SaaS)	SaaS is software that is centrally hosted and managed for you and your users or customers. Usually, one version of the application is used for all customers, and it is licensed through a monthly or annual subscription. PaaS and IaaS use a consumption-based model, so you only pay for what you use.		Infrastructure as a service (IaaS) | platform as a service (PaaS)		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	115	For which resource does Azure generate separate billing reports and invoices by default?	subscriptions	Azure generates separate billing reports and invoices for each subscription so that you can organize and manage costs. Resource groups can be used to group costs, but you will not receive a separate invoice for each resource group. Management groups are used to efficiently manage access, policies, and compliance for subscriptions. You can set up billing profiles to roll up subscriptions into invoice sections, but this requires customization.		resource groups |&nbsp;management groups |&nbsp;accounts		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	116	Which resource can you use to manage access, policies, and compliance across multiple subscriptions?	management groups	<div><ul><li>Management groups can be used in environments that have multiple subscriptions to streamline the application of governance conditions.</li><li>Resource groups can be used to organize Azure resources.</li><li>Administrative units are used to delegate the administration of Azure AD resources, such as users and groups.</li><li>Accounts are used to provide access to resources</li></ul></div>   		resource groups | administrative units		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	117	Which two scenarios are common billing use cases for resource tags? Each correct answer presents a complete solution.	categorizing costs by department |&nbsp;associating costs with different environments	You can use tags to categorize costs by department, such as human resources, marketing, or finance, or by environment, such as test or production. Resizing underutilized virtual machines is a good cost saving measure and provisioning resources in lower cost regions is a good practice, but resource tags do not help with this.		resizing underutilized virtual machines |&nbsp;identifying lower cost regions		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	118	Which two features are available by using Azure Cost Management + Billing? Each correct answer presents a complete solution.	Create and manage budgets. |&nbsp;Generate historical reports and forecast future usage.	Azure Cost Management allows you to create and manage cost and usage budgets by monitoring resource demand trends, consumption rates, and cost patterns. It also allows you to use historical data to generate reports and forecast future usage and expenditures.		Provide discounted prices when you pay in advance. |&nbsp;Estimate the total cost of ownership before resources are deployed.		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	119	<div>You need to recommend a solution for Azure virtual machine deployments. The solution must enforce company standards on the virtual machines. What should you include in the recommendation?</div>	Azure Policy	Azure policies will allow you to enforce company standards on new virtual machines when combined with Azure VM Image Builder and Azure Compute Gallery. By using Azure Policy and role-based access control (RBAC) assignments, enterprises can enforce standards on Azure resources. But on virtual machines, these mechanisms only affect the control plane or the route to the virtual machine.		Azure Cost Management | Azure Lock |&nbsp;Azure Blueprints		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	120	<div>You need to identify which Azure services are compliant with ISO 27001 Information Security Management Standards. Where should you go to locate the information?</div>	Microsoft Trust Center	The Trust Center showcases the Microsoft principles for maintaining data integrity in the cloud and how Microsoft implements and supports security, privacy, compliance, and transparency in all Microsoft cloud products and services.		Microsoft Privacy Statement | the Data Protection Addendum of Microsoft | Microsoft Online Services Terms		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	121	What can you use to create resources in Azure and includes a validation step to ensure all resources are created in a specific order based on dependencies, in parallel and idempotent?	Azure Resource Manager (ARM) templates	ARM templates define an application's infrastructure requirements for a repeatable deployment that is done in a consistent manner. A validation step ensures that all resources can be created in the proper order based on dependencies, in parallel and idempotent.		Azure CLI | Azure PowerShell | Azure REST API		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	122	What can you use to automatically detect performance anomalies for web apps?	Azure Application Insights	Application Insights is a feature of Azure Monitor that allows you to monitor running applications, automatically detect performance anomalies, and use built-in analytics tools to see what users do on an app.		Azure DevOps | Azure Cognitive Services | Azure Advisor		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	123	[Answer choice] refers to upfront costs incurred one time, such as hardware purchases.	Capital expenditures	Capital expenditures are one-time expenses that can be deducted over time. Operational expenditures are billed as you use services and a do not have upfront costs.		Operational expenditures | Elasticity | A consumption-based model		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	124	"Which storage service offers fully managed file shares in the cloud that
 are accessible by using Server Message Block (SMB) protocol?"	Azure Files	Azure Files offers fully managed file shares in the cloud with shares that are accessible by using Server Message Block (SMB) protocol. Mounting Azure file shares is just like connecting to shares on a local network.		Azure Disk Storage | Azure Table storage | Azure Queue Storage		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	125	To which object or level is an Azure role-based access control (RBAC) role applied?	scope	An Azure RBAC role is applied to a scope, which is a resource or set of resources that the access applies to. Resource locks prevent the accidental change or deletion of a resource. Resource tags are used to locate and act on resources associated with specific workloads, environments, business units, and owners. Policies enforce different rules across resource configurations so that the configurations stay compliant with corporate standards.		resource tag | policy |&nbsp;resource lock		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	126	What can you use to manage servers across cloud platforms and on-premises environments?	Azure Arc	Azure Arc simplifies governance and management by delivering a consistent multi-cloud and on-premises management platform.		Azure CLI | Azure Monitor |&nbsp;Azure PowerShell		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	127	You are migrating your on-premises Microsoft Exchange email system to&nbsp;Office 365. What kind of cloud service would this be considered?	Software-as-a-Service (SaaS)	Office 365 on Azure is a Software as a Service component which is available to migrate the on-premise Microsoft Exchange email service. (Software-as-a-Service (SaaS)) - Software as a service (SaaS) allows users to connect to and use cloud-based apps over the Internet. Common examples are email, calendaring, and office tools (such as Microsoft Office 365)		Infrastructure-as-a-Service (IaaS) |&nbsp;Serverless | Platform-as-a-Service (PaaS)		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	128	Which of the following are considered capital expenditures (CapEx)?	Hyper-V host server |&nbsp;Storage area network	Capex refers to large costs associated with initial setup of physical infrastructure, and all other options refer to limited costs of either renting cloud inventory or product licenses.<br>(Storage area network) - Storage costs are typically considered CapEx and include storage hardware components and the cost of supporting them. Depending on the application and level of fault tolerance, centralized storage can be expensive. Server costs are considered CapEx and include all server hardware components and the cost of supporting them.<br><br>(Hyper-V host server) - Physical server costs are considered CapEx and include all server hardware components and the cost of supporting them. When purchasing servers, make sure to design for fault tolerance and redundancy (e.g., server clustering, redundant power supplies, and uninterruptible power supplies). When a server needs to be replaced or added to a data center, you need to pay for the computer. This can affect your immediate cash flow because you must pay for the server up front.		Office 365 licenses |&nbsp;Cloud-based virtual machine		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	129	"Define the concept of ""dynamic elasticity."""	A cloud service that responds quickly when demand increases and&nbsp;scales down when demand decreases	Dynamic elasticity refers to an ability of auto-scaling and also autoresizing based on demand. (A cloud service that responds quickly when demand increases and scales down when demand decreases) - Dynamic elasticity is defined as a cloud service that both quickly scales up and also back down in order to serve your changing workload patterns for&nbsp;the lowest cost.		A cloud service that responds quickly when demand increases and&nbsp;needs to be manually scaled-down when demand decreases. |&nbsp;The ability of a cloud service to be accessed quickly from any location&nbsp;via the internet. |&nbsp;A cloud service that remains available after a failure occurs		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	130	Which of the following statements are true for IaaS cloud services?	The client is responsible for all guest VM OS and application updates | The client is responsible for purchasing all Operating System (OS) host licensing |&nbsp;Services can be scaled automatically to support system load.			The client has complete control over the hardware hosting the VM		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	131	Your company is migrating an internal web application to the cloud. The application requires specific configuration changes within the Operating System. Which of the following cloud deployment solutions would be most suitable?	Infrastructure as a Service (IaaS)	Since this is an internal web application, you would need to have<br>control over every aspect and security of hosting this application (Infrastructure as a Service (IaaS)) - Only Infrastructure as a Service provides the required level of access to the Operating System. Platform as a Service (PaaS) is a complete development and deployment environment in the cloud, but does not provide the same level of Operating System access as an IaaS solution. Software as a service (SaaS) allows users to connect to and use cloud-based apps over the Internet but provides no access to the Operating System. Function as a Service (FaaS) such as Azure Functions are small single-purpose applications which do not provide Operating System access.		Platform as a Service (PaaS) |&nbsp;Software as a Service (SaaS) | Function as a Service (FaaS)		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	132	A cloud architecture consisting of both on-premise and public cloud networks is joined to allow applications to operate across the two. What is this known as?	Hybrid Cloud	Hybrid Cloud is the cloud architecture which allows both public and<br>private cloud to seamlessly operate together. A Hybrid Cloud is created when on-premise and public cloud environments are joined. This is a method many companies with existing on-premise infrastructure transition through in their journey to cloud, as it gives flexibility between the two environments and enables a phased migration approach.		Stretched Cloud | Public Cloud		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	133	Which of the following are characteristic of private clouds?	High scalability |&nbsp;Improved security	Private clouds enable high customization and security configuration and also as a result are more expensive to maintain Improved security - Because resources are not shared with others, private clouds provide higher levels of control and security. <br><br>High scalability - Private clouds still afford the scalability and<br>efficiency of a public cloud.		Lower costs |&nbsp;Limited flexibility		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	134	Which of the following statements about Azure availability zones are true?	Availability zones are used to replicate data and applications to multiple datacenters within an Azure region. Zone-redundant services replicate your applications and data across Availability Zones. | An Availability Zone in an Azure region combines a fault domain and an update domain	Azure Availability zones eliminate any single point of failure and provide high availability and scalability through a regional network design that connects at least three physically distinct strategically placed data centers in each region<br><br>Availability Zones replicate data and applications to multiple datacenters, Zone-redundant services replicate your applications and data across Availability Zones - Multiple datacenters protect your applications and data across availability zones to protect from single points of failure. By using this combination, high availability can be achieved. Both Linux and Windows virtual machines are supported in availability zones.<br><br>Availability Zone in an Azure region combines a fault domain and an update domain - Multiple datacenters protect your applications and data across availability zones to protect from single points of failure. By using this combination, high availability can be achieved.		Availability zones are used to ensure that the VM resources are isolated from each other when they are deployed within an Azure datacenter. | Only virtual machines that run Windows Server can be created in availability zones.		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	135	What is the name of the logical container used to group together and manage resources in Azure?	Resource Groups.	Azure resource groups are logical containers to group and manage resources in Azure. An Azure Resource Group is a container used to hold the resources deployed in your Azure account. Resource Groups can contain almost any type of resource in Azure, such as Virtual Machines, VNets, and Storage Accounts. The other options do not exist.		Cloud Folders. | Cloud Groups.		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	136	Availability zones can be implemented in all Azure regions	False	Not all Azure regions support availability zones		True		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	137	Only virtual machines that run Windows Server can be created in availability zones.	False	Availability zones can be used with many Azure services, not just VMs.		True		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	138	Availability zones are used to replicate data and applications to multiple regions.	False	Availability Zones are unique physical locations within a single Azure region.		True		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	139	Your company has an Azure Kubernetes Service AKS cluster and a Windows 10 workstation with Azure CLI installed. You plan to use the Kubectl client on Windows 10. Which of the following commands should you run?	az aks install-cli			az aks nodepool | az aks create | az aks browse		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	140	"This question requires that you evaluate the italicized text in double quotes to determine if it is correct:<br><br>When you need to delegate permissions to several Azure virtual machines simultaneously, you must deploy the Azure virtual machines ""<i>to the same Azure region</i>"".<br><br>Instructions: Review the italicized text in double quotes. If it makes this statement correct, select “<i>No change is needed</i>”. If this statement is incorrect, select the answer choice that makes the statement correct."	To the same resource group	A resource group is a container that holds related resources for an Azure solution. The resource group can include all the resources for the solution, or only those resources that you want to manage as a group		No Change is needed |&nbsp;By using the same Azure resource manager template |&nbsp;To the same availability Zone		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	141	Azure resources inherit locks from the resource group they are part of	Yes	When you apply a lock at a parent scope, all resources within that scope inherit the same lock. Even resources you add later inherit the lock from the parent.		No		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	142	"You received a new urgent task to create several Azure virtual machines in your Azure environment. Unfortunately, you are on holiday and you only have a tablet with you, that runs Android operating system.<br><br><span style=""color: rgb(0, 170, 255);""></span>Solution: You use Bash in Azure Cloud Shell.<br><br>Does this meet the goal?"	Yes	With Azure Cloud Shell, you can create virtual machines using Bash or PowerShell. Azure Cloud Shell is an interactive, authenticated, browser-accessible shell for managing Azure resources. It provides the flexibility of choosing the shell experience that best suits the way you work, either Bash or PowerShell.		No		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	143	If your VM has a Read-only lock applied, you can add a Delete lock as well	Yes	This is indeed possible. Read-Only Lock means authorised users can read a resource, but they can't delete or update the resource. Delete Lock means authorised users can still read and modify a resource, but they can't delete the resource.		No		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	144	Which service lacks features to assign individual developers tasks to work&nbsp;on?	Azure Pipelines	Azure Pipelines is a CI/CD tool for building an automated toolchain. It lacks features to assign tasks for individual developers to work on. However, it can automate other tools to assign tasks to users		Azure Boards |&nbsp;GitHub		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	145	Your development team is interested in writing Graph-based applications that take advantage of the Gremlin API. Which option would be ideal for that scenario?	Azure Cosmos DB	Azure Cosmos DB supports SQL, MongoDB, Cassandra, Tables, and Gremlin APIs.		Azure SQL Database |&nbsp;Azure Databricks |&nbsp;Azure Database for PostgreSQL		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	146	iCertify Traders uses the LAMP stack for several of its websites. Which option would be ideal for migration?	Azure Database for MySQL	Azure Database for MySQL is the logical choice for existing LAMP stack applications		Azure Cosmos DB |&nbsp;Azure SQL Database |&nbsp;Azure Database for PostgreSQL		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	147	iCertify Traders has millions of log entries that it wants to analyze. Which option would be ideal for analysis?	Azure Synapse Analytics	Azure Synapse Analytics is the logical choice for analyzing large volumes of data.		Azure Cosmos DB |&nbsp;Azure SQL Database |&nbsp;Azure Database for PostgreSQL		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	148	You need to process messages from a queue, parse them by using some existing imperative logic written in Java, and then send them to a third-party&nbsp;API. Which serverless option should you choose?	Azure Functions	Azure Functions is the correct choice because you can use existing Java code with minimal modification		Azure Logic Apps		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	149	You want to orchestrate a workflow by using APIs from several wellknown services. Which is the best option for this scenario?	Azure Logic Apps	Azure Logic Apps makes it easy to create a workflow across wellknown services with less effort than writing code and manually orchestrating all the steps yourself		Azure Functions		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	150	Your team has limited experience with writing custom code, but it sees tremendous value in automating several important business processes. Which of the following options is your team's best option?	Azure Logic Apps	Azure Logic Apps is best suited for users who are more comfortable in a visual environment that allows them to automate their business processes. Logic Apps is the best option in this scenario.		Azure Functions		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	151	As an administrator, you need to retrieve the IP address from a particular VM by using Bash. Which of the following tools should you use?	The Azure CLI	The Azure CLI enables you to use Bash to run one-off tasks on Azure		ARM templates |&nbsp;Azure PowerShell |&nbsp;The Azure portal		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	152	You're a developer who needs to set up your first VM to host a process that runs nightly. Which of the following tools is your best choice?	The Azure portal	The Azure portal is a great place for newcomers to learn about Azure and set up their first resources.		ARM templates |&nbsp;Azure PowerShell |&nbsp;The Azure CLI		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	153	What is the best infrastructure-as-code option for quickly and reliably setting up your entire cloud infrastructure declaratively?	ARM templates	ARM templates are the best infrastructure-as-code option for quickly and reliably setting up your entire cloud infrastructure declaratively		Azure PowerShell |&nbsp;The Azure portal |&nbsp;The Azure CLI		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	154	How can iCertify Traders enforce having only certain applications run on its VMs?	Create an application control rule in Azure Security Center	With Azure Security Center, you can define a list of allowed applications to ensure that only applications you allow can run. Azure Security Center can also detect and block malware from being installed on your VMs.		Connect your VMs to Azure Sentinel | Periodically run a script that lists the running processes on each VM. The IT manager can then shut down any applications that shouldn't be running.		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	155	What's the easiest way for iCertify Traders to combine security data from all of its monitoring tools into a single report that it can take action on?	Collect security data in Azure Sentinel	Azure Sentinel is Microsoft's cloud-based SIEM. A SIEM aggregates security data from many different sources to provide additional capabilities for threat detection and responding to threats		Build a custom tool that collects security data, and displays a report through a web application | Look through each security log daily and email a summary to your team.		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	156	Which is the best way for iCertify Traders to safely store its certificates so that they're accessible to cloud VMs?	Store the certificates in Azure Key Vault	Azure Key Vault enables you to store your secrets in a single, central location. Key Vault also makes it easier to enroll and renew certificates from public certificate authorities (CAs)		Place the certificates on a network share |&nbsp;Store them on a VM that's protected by a password		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	157	How can iCertify Traders ensure that certain VM workloads are physically isolated from workloads being run by other Azure customers?	Run the VMs on Azure Dedicated Host	Azure Dedicated Host provides dedicated physical servers to host your Azure VMs for Windows and Linux		Configure the network to ensure that VMs on the same physical host are isolated |&nbsp;This is not possible. These workloads need to be run on-premises		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	158	How can iCertify Traders allow some users to control the virtual machines in each environment but prevent them from modifying networking and other resources in the same resource group or Azure subscription?	Create a role assignment through Azure role-based access control&nbsp;(Azure RBAC).	Azure RBAC enables you to create roles that define access permissions. You might create one role that limits access only to virtual machines and a second role that provides administrators with access to everything.		Create a policy in Azure Policy that audits resource usage |&nbsp;Split the environment into separate resource groups		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	159	Which is the best way for iCertify Traders to ensure that the team deploys only cost-effective virtual machine SKU sizes?	Create a policy in Azure Policy that specifies the allowed SKU sizes	After you enable this policy, that policy is applied when you create new virtual machines or resize existing ones. Azure Policy also evaluates any current virtual machines in your environment		Periodically inspect the deployment manually to see which SKU sizes are used | Create an Azure RBAC role that defines the allowed virtual machine SKU sizes		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	160	Which is likely the best way for iCertify Traders to identify which billing department each Azure resource belongs to?	Apply a tag to each resource that includes the associated billing department	Tags provide extra information, or metadata, about your resources. The team might create a tag that's named BillingDept whose value would be the name of the billing department. You can use Azure Policy to ensure that the proper tags are assigned when resources are provisioned		Track resource usage in a spreadsheet | Split the deployment into separate Azure subscriptions, where each subscription belongs to its own billing department		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	161	Where can the team access details about the personal data Microsoft processes and how the company processes it, including for Cortana?	Microsoft Privacy Statement	The Microsoft Privacy Statement provides information that's relevant to specific services, including Cortana		The Azure compliance documentation |&nbsp;Microsoft compliance offerings		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	162	Where can the legal team access information around how the Microsoft cloud helps them secure sensitive data and comply with applicable laws and regulations?	Trust Center	The Trust Center is a great resource for people in your organization who might play a role in security, privacy, and compliance		Microsoft Privacy Statement |&nbsp;Online Services Terms		icertify
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	163	Where can the IT department find reference blueprints that it can apply directly to its Azure subscriptions?	Azure compliance documentation	The compliance documentation provides reference blueprints, or policy definitions, for common standards that you can apply to your Azure subscription.		Online Services Terms |&nbsp;Microsoft Privacy Statement		icertify
